 12650.7241   7902.5240     .466                           83.1          
 12649.2495   7903.4452     .728                           26.9          
 12648.3841   7903.9860     .424   25405  4    17501  5    27.3   I      
 12646.5346   7905.1419   82.056   18431  3    10526  3    26.1   I      
 12645.6914   7905.6690    6.589   28227  4    20322  5    27.6   I      
 12642.3426   7907.7631    1.315   19880  9\2  27787  9\2  28.6   II     
 12641.3787   7908.3661    1.545   17398  3    25306  2    27.4   I      
 12636.1431   7911.6428    9.575   25923  4    18011  5    26.5   I      
 12633.9344   7913.0259     .329   33603  6    25690  5    29.2   I      
 12632.5460   7913.8956     .920    2869  3    10783  2    28.0   I      
 12617.5170   7923.3220     .428                           36.2          
 12617.1958   7923.5237     .413   17398  3    25321  3    29.3   I      
 12610.3879   7927.8013    1.380   28450  1    20522  2    27.0   I      
 12604.6437   7931.4142    1.118   18431  3    26363  2    29.1   I      
 12591.9006   7939.4408     .316   16818  7\2  24757  9\2  30.2   II     
 12587.8865   7941.9726    3.881   28679  2    20737  1    27.3   I      
 12587.7321   7942.0700     .328                           18.7          
 12584.8889   7943.8643     .343                           58.4          
 12583.2217   7944.9168     .620   29835  3    21890  3    29.6   I      
 12582.8405   7945.1575     .363                           27.3          
 12580.2384   7946.8009     .590   15970  3    23916  4    29.1   I      
 12580.0930   7946.8927     .661   29849  4    21902  4    27.7   I      
 12571.6914   7952.2036    1.283   18699  2    26651  2    27.2   I      
 12568.4180   7954.2747     .691                           28.4          
 12562.6451   7957.9299     .671   19713  3    27670  3    27.5   I      
 12561.5520   7958.6224    1.057   18549  2    26508  3    27.1   I      
 12561.1655   7958.8673     .375   14204  5    22163  4    27.8   I      
 12558.8503   7960.3345     .618   28882  2    20922  2    28.1   I      
 12553.0287   7964.0262    7.526   27191  5    19227  6    26.4   I      
 12552.7954   7964.1742    4.581   31271  5    23306  6    27.1   I      
 12540.9645   7971.6874     .937   31626  5    23655  4    27.0   I      
 12527.2332   7980.4253     .742                           25.5          
 12519.2713   7985.5006     .371   27971  5    19986  6    28.0   I      
 12518.1929   7986.1885    2.209   26796  3    18809  4    26.5   I      
 12508.3930   7992.4454    1.133   27495  4    19503  3    27.9   I      
 12502.7693   7996.0404    1.453   28562  4    20566  4    27.0   I      
 12499.6894   7998.0106    1.169                           27.3          
 12488.6685   8005.0686     .652   27044  3    19039  2    28.1   I      
 12477.2961   8012.3648   16.188    3865  1    11877  1    26.9   I      
 12476.2997   8013.0047    2.349   28227  4    20214  3    26.6   I      
 12474.3623   8014.2492    1.020   11802  2    19817  1    26.9   I      
 12469.2278   8017.5492    5.351   18431  3    10414  4    26.4   I      
 12466.6409   8019.2129     .351   32293  5    24274  5    29.3   I      
 12465.0489   8020.2371    2.022   28342  5    20322  5    27.9   I      
 12464.1242   8020.8321     .725                           93.4          
 12460.9734   8022.8602    3.858   18549  2    10526  3    26.8   I      
 12458.0654   8024.7329     .427   27937 11\2  19912 13\2  27.7   II     
 12454.5129   8027.0219    1.400   28450  1    20423  1    26.6   I      
 12453.2599   8027.8295    1.254   15493  4    23521  3    27.8   I      
 12447.4918   8031.5496    8.461   19273  2    11241  3    27.3   I      
 12446.3451   8032.2895     .348   27980  3    19948  4    27.8   I      
 12445.3871   8032.9078    1.991   23769  1    15736  1    27.1   I      
 12442.0087   8035.0890    8.428   23201  3    15166  3    26.4   I      
 12440.6409   8035.9724     .948   32737  5    24701  5    26.6   I      
 12439.7970   8036.5176     .565   30544  2    22508  2    26.0   I      
 12430.7571   8042.3619     .347   13847  2    21890  3    30.6   I      
 12430.5841   8042.4738     .511                           27.9          
 12429.2832   8043.3156     .456   25890  2    17847  2    28.0   I      
 12422.2945   8047.8407    4.932   28034  5    19986  6    26.3   I      
 12419.1584   8049.8729     .727   27566  2    19516  2    27.3   I      
 12415.2159   8052.4292     .377                           37.2          
 12415.1598   8052.4656   15.078   24399  3    16346  4    26.3   I      
 12414.1956   8053.0910     .407   33408  3    25355  4    29.1   I      
 12406.1890   8058.2882     .689   28273  2    20214  3    27.0   I      
 12400.3461   8062.0852     .523    6213  9\2  14275  9\2  29.4   II     
 12397.8478   8063.7098    2.814   27566  2    19503  3    27.2   I      
 12381.8124   8074.1529    1.828   12847  3    20922  2    27.5   I      
 12378.2849   8076.4538     .582   17959  4    26036  3    28.4   I      
 12372.4973   8080.2318    1.037   12570  7\2   4490  5\2  27.3   II     
 12372.0009   8080.5560     .902   32781  4    24701  5    27.3   I      
 12364.2627   8085.6132     .454   28034  5    19948  4    29.6   I      
 12361.4317   8087.4650     .305   21645  4    29733  5    29.9   I      
 12359.6235   8088.6482     .989   17959  4    26048  4    31.2   I      
 12356.0846   8090.9648     .445   12219  3\2  20310  5\2  28.2   II     
 12351.9806   8093.6531    2.371   30971  4    22877  5    26.5   I      
 12349.4819   8095.2907     .802   27612  3    19516  2    26.7   I      
 12341.4901   8100.5328     .445                           26.7          
 12337.9981   8102.8255   21.830    6362  2    14465  2    27.4   I      
 12330.7985   8107.5565     .454   28531  2    20423  1    28.1   I      
 12329.2011   8108.6069     .836   30508  5    22399  5    27.2   I      
 12328.4847   8109.0781     .691   30011  3    21902  4    27.7   I      
 12322.3921   8113.0875     .424   32963  5    24850  6    27.0   I      
 12321.1161   8113.9277    1.890   27044  3    18930  3    26.9   I      
 12318.0498   8115.9475    2.640   15493  4    23609  5    27.0   I      
 12317.1305   8116.5532    2.164   16037  2     7921  1    26.8   III    
 12316.9128   8116.6967     .651    7502  3    15618  3    28.3   I      
 12316.3703   8117.0542     .557   32201  5    24084  6    27.3   I      
 12312.7287   8119.4549    1.045   31774  3    23655  4    27.4   I      
 12310.0592   8121.2156    1.920   30011  3    21890  3    27.7   I      
 12303.7398   8125.3868     .322   34849  5    26723  6    26.9   I      
 12294.9874   8131.1710     .713   24915  3    16783  4    28.4   I      
 12292.9535   8132.5163     .331   35216  5    27084  6    27.9   I      
 12273.8564   8145.1698     .877   28882  2    20737  1    27.7   I      
 12271.3992   8146.8008     .796   16554  6    24701  5    26.4   I      
 12263.4412   8152.0874     .318   31265  3    23113  4    26.9   I      
 12262.2487   8152.8802     .542   22098  4    13945  3    28.2   I      
 12261.9062   8153.1079     .781   30552  4    22399  5    27.5   I      
 12256.7391   8156.5450    1.034   28679  2    20522  2    28.1   I      
 12249.1833   8161.5763    5.648   26971  4    18809  4    27.0   I      
 12245.4852   8164.0411    1.541   13088  3    21252  2    26.6   I      
