,ref_lambda,lower,upper,click_selected
236,3227.470455,3227.4059055909,3227.5350044090997,False
237,3229.009593,3228.9450128081403,3229.07417319186,False
238,3230.867963,3230.80334564074,3230.9325803592596,False
239,3232.30618,3232.2415338764,3232.3708261235997,False
240,3235.667388,3235.60267465224,3235.7321013477595,False
241,3235.839985,3235.7752682003,3235.9047017997,False
242,3237.232332,3237.16758735336,3237.2970766466397,False
243,3238.115747,3238.0509846850596,3238.1805093149396,False
244,3238.93431,3238.8695313138,3238.9990886861997,False
245,3240.94704,3240.8822210591998,3241.0118589408,False
246,3241.10795,3241.043127841,3241.1727721589996,False
247,3242.379017,3242.31416941966,3242.44386458034,False
248,3244.043439,3243.97855813122,3244.1083198687797,False
249,3244.448809,3244.38392002382,3244.5136979761796,False
250,3245.994211,3245.92929111578,3246.05913088422,False
251,3248.893834,3248.82885612332,3248.9588118766796,False
252,3251.91591,3251.8508716818,3251.9809483182,False
253,3252.964413,3252.89935371174,3253.02947228826,False
254,3253.683861,3253.61878732278,3253.7489346772195,False
255,3254.067323,3254.0022416535403,3254.13240434646,False
256,3256.273854,3256.20872852292,3256.3389794770796,False
257,3256.695406,3256.6302720918798,3256.7605399081194,False
258,3257.162051,3257.09690775898,3257.2271942410193,False
259,3259.060869,3258.99568778262,3259.1260502173795,False
260,3259.245136,3259.17995109728,3259.31032090272,False
261,3262.3171,3262.251853658,3262.382346342,False
262,3262.668454,3262.60320063092,3262.7337073690796,False
263,3263.182781,3263.11751734438,3263.2480446556197,False
264,3264.121613,3264.0563305677397,3264.1868954322595,False
265,3267.002454,3266.93711395092,3267.0677940490796,False
266,3268.757445,3268.6920698511003,3268.8228201489,False
267,3270.099402,3270.03400001196,3270.1648039880397,False
268,3271.546009,3271.48057807982,3271.6114399201797,False
269,3272.0268,3271.961359464,3272.0922405359997,False
270,3275.067597,3275.0020956480603,3275.13309835194,False
271,3275.260053,3275.1945477989398,3275.3255582010597,False
272,3275.643359,3275.57784613282,3275.70887186718,False
273,3276.719942,3276.65440760116,3276.78547639884,False
274,3282.616574,3282.55092166852,3282.68222633148,False
275,3285.514818,3285.44910770364,3285.5805282963597,False
276,3286.582912,3286.5171803417597,3286.6486436582395,False
277,3287.789301,3287.72354521398,3287.8550567860193,False
278,3288.160274,3288.09451079452,3288.2260372054798,False
279,3290.59962,3290.5338080076,3290.6654319923996,False
280,3291.739449,3291.67361421102,3291.80528378898,False
281,3292.31152,3292.2456737696,3292.3773662303997,False
282,3294.245237,3294.17935209526,3294.3111219047396,False
283,3297.374831,3297.30888350338,3297.4407784966197,False
284,3297.833304,3297.76734733392,3297.89926066608,False
285,3304.23836,3304.1722752327996,3304.3044447671996,False
286,3307.228257,3307.1621124348603,3307.29440156514,False
287,3309.135852,3309.0696692829597,3309.2020347170396,False
288,3309.36545,3309.2992626909995,3309.4316373089996,False
289,3313.070388,3313.00412659224,3313.1366494077597,False
290,3313.99462,3313.9283401076,3314.0608998923994,False
291,3318.390131,3318.3237631973802,3318.45649880262,False
292,3319.133055,3319.0666723389,3319.1994376610996,False
293,3320.476319,3320.40990947362,3320.5427285263795,False
294,3321.450839,3321.38440998322,3321.51726801678,False
295,3322.093322,3322.02688013356,3322.15976386644,False
296,3322.470927,3322.4044775814596,3322.5373764185397,False
297,3324.752706,3324.6862109458802,3324.8192010541197,False
298,3325.120752,3325.05424958496,3325.1872544150397,False
299,3325.965805,3325.8992856839,3326.0323243160997,False
300,3326.465259,3326.39872969482,3326.53178830518,False
301,3327.193167,3327.12662313666,3327.2597108633395,False
302,3327.71276,3327.6462057447998,3327.7793142551996,False
303,3330.477007,3330.4103974598597,3330.5436165401397,False
304,3331.726357,3331.65972247286,3331.7929915271397,False
305,3333.128998,3333.06233542004,3333.1956605799596,False
306,3333.383112,3333.31644433776,3333.4497796622395,False
307,3334.60412,3334.5374279176,3334.6708120823996,False
308,3335.239216,3335.17251121568,3335.30592078432,False
309,3335.474182,3335.40747251636,3335.54089148364,False
310,3336.570273,3336.50354159454,3336.6370044054597,False
311,3337.870357,3337.80359959286,3337.9371144071397,False
312,3338.598026,3338.5312540394802,3338.66479796052,False
313,3341.398872,3341.3320440225602,3341.4656999774397,False
314,3341.740642,3341.67380718716,3341.80747681284,False
315,3343.618348,3343.55147563304,3343.6852203669596,False
316,3343.812927,3343.74605074146,3343.8798032585396,False
317,3346.555999,3346.4890678800202,3346.6229301199796,False
318,3347.57741,3347.5104584518,3347.6443615481994,False
319,3349.32947,3349.2624834106,3349.3964565894,False
320,3350.923835,3350.8568165233,3350.9908534766996,False
321,3351.228617,3351.1615924276603,3351.2956415723397,False
322,3352.036089,3351.9690482782203,3352.10312972178,False
323,3353.948473,3353.88139403054,3354.0155519694595,False
324,3354.179605,3354.1125214078997,3354.2466885920994,False
325,3355.106131,3355.03902887738,3355.17323312262,False
326,3355.258716,3355.1916108256796,3355.3258211743196,False
327,3357.058119,3356.9909778376195,3357.1252601623796,False
328,3357.235167,3357.1680222966597,3357.3023117033395,False
329,3360.37355,3360.3063425289997,3360.4407574709994,False
330,3362.676256,3362.60900247488,3362.74350952512,False
331,3365.978862,3365.91154242276,3366.0461815772396,False
332,3367.582229,3367.51487735542,3367.6495806445796,False
333,3371.491139,3371.42370917722,3371.5585688227798,False
334,3373.844479,3373.7770021104197,3373.9119558895795,False
335,3374.974894,3374.90739450212,3375.04239349788,False
336,3378.573379,3378.50580753242,3378.64095046758,False
337,3378.803715,3378.7361389257,3378.8712910742997,False
338,3379.090049,3379.02246719902,3379.1576308009794,False
339,3380.570232,3380.50262059536,3380.6378434046396,False
340,3380.859541,3380.79192380918,3380.9271581908197,False
341,3383.586106,3383.5184342778803,3383.6537777221197,False
342,3385.531607,3385.46389636786,3385.5993176321394,False
343,3386.50066,3386.4329299868,3386.5683900132,False
344,3387.920553,3387.85279458894,3387.98831141106,False
345,3389.640541,3389.57274818918,3389.70833381082,False
346,3390.368122,3390.30031463756,3390.4359293624398,False
347,3392.034957,3391.9671163008597,3392.1027976991395,False
348,3393.421494,3393.35362557012,3393.4893624298797,False
349,3393.992954,3393.9250741409196,3394.0608338590796,False
350,3394.797014,3394.7291180597203,3394.86490994028,False
351,3395.112389,3395.0444867522197,3395.1802912477797,False
352,3395.986186,3395.91826627628,3396.0541057237197,False
353,3396.727801,3396.65986644398,3396.7957355560197,False
354,3397.516114,3397.44816367772,3397.5840643222796,False
355,3398.544852,3398.47688110296,3398.6128228970397,False
356,3402.026404,3401.95836347192,3402.0944445280797,False
357,3403.005954,3402.93789388092,3403.07401411908,False
358,3405.558381,3405.49026983238,3405.6264921676193,False
